1,B,Y,Y,Y,I,C,K,Y,Y,Y,WM,Y,WL,Y,R
2,A,Y,Y,T,I,C,K,Y,Y,Y,WL,Y,WL,Y,R
3,B,Y,Y,Y,L,T,K,T,T,Y,WL,Y,WL,Y,R
4,B,Y,Y,Y,L,C,G,Y,Y,Y,WM,Y,WM,Y,P
5,A,Y,Y,Y,L,T,G,Y,Y,Y,WM,Y,WM,Y,P
6,A,Y,Y,Y,L,T,G,Y,Y,Y,WM,Y,WM,Y,P
7,A,Y,Y,Y,L,T,G,Y,Y,Y,WM,Y,WM,Y,P
8,B,Y,T,Y,L,T,K,T,T,Y,WL,Y,WL,Y,R
9,B,Y,Y,Y,I,T,K,Y,T,Y,WL,T,WL,T,R
10,B,Y,Y,Y,L,T,K,Y,Y,Y,WM,Y,WL,Y,P
11,A,Y,Y,Y,I,C,G,Y,Y,Y,WM,Y,WL,Y,S
12,B,Y,Y,Y,L,T,G,T,Y,T,WL,T,WL,Y,P
13,B,Y,Y,Y,I,C,K,Y,Y,Y,WL,Y,WM,Y,R
14,C,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,R
15,B,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,R
16,B,Y,Y,Y,L,T,G,Y,Y,Y,WL,Y,WL,Y,R
17,B,Y,Y,Y,I,T,K,Y,Y,Y,WL,Y,WL,T,S
18,B,Y,Y,Y,I,C,K,Y,Y,Y,WL,Y,WL,Y,R
19,A,Y,Y,Y,L,T,K,Y,Y,Y,WL,Y,WL,Y,R
20,A,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,S
21,B,Y,Y,Y,L,T,G,Y,Y,Y,WL,Y,WL,Y,R
22,A,T,Y,Y,I,T,K,Y,Y,Y,WL,Y,WL,Y,R
23,B,Y,Y,Y,I,C,G,Y,Y,Y,WM,Y,WL,Y,R
24,A,Y,Y,Y,I,C,K,Y,Y,Y,WM,Y,WL,Y,S
25,A,Y,Y,Y,I,C,K,Y,Y,T,WL,T,WM,Y,R
26,B,Y,Y,Y,I,C,K,Y,Y,Y,WM,T,WL,Y,R
27,B,Y,Y,Y,L,C,G,Y,T,Y,WL,Y,WL,Y,Q
28,B,Y,Y,Y,L,T,K,Y,Y,Y,WL,T,WL,Y,S
29,B,Y,Y,Y,I,C,K,Y,Y,Y,WL,Y,WL,Y,R
30,C,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,S
31,B,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,R
32,A,Y,Y,Y,I,C,G,Y,T,Y,WM,Y,WL,Y,S
33,A,Y,Y,Y,I,C,G,Y,Y,Y,WM,Y,WM,Y,S
34,B,Y,T,Y,I,C,G,T,T,T,WL,T,WL,Y,S
35,B,Y,T,Y,L,C,G,Y,Y,Y,WL,Y,WL,Y,R
36,B,T,Y,Y,I,T,G,Y,Y,Y,WL,Y,WL,Y,R
37,A,Y,Y,Y,I,C,G,Y,Y,Y,WM,Y,WL,Y,R
38,B,Y,Y,Y,L,C,G,Y,T,T,WL,T,WL,Y,R
39,A,Y,Y,Y,L,C,G,T,T,Y,WL,Y,WL,Y,R
40,A,Y,Y,Y,L,T,G,Y,Y,T,WM,Y,WL,Y,Q
41,C,Y,Y,Y,L,C,K,Y,Y,Y,WL,Y,WL,Y,R
42,A,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,R
43,B,Y,Y,Y,I,C,K,T,Y,T,WL,Y,WL,T,Q
44,A,Y,Y,Y,L,T,K,T,Y,T,WL,T,WL,Y,Q
45,A,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,Q
46,B,Y,Y,Y,I,C,G,Y,Y,Y,WL,Y,WL,Y,R
47,A,Y,Y,Y,I,C,K,Y,Y,Y,WM,Y,WL,T,R
48,A,T,Y,Y,I,C,K,T,Y,Y,WM,T,WL,T,R
49,B,Y,Y,Y,I,C,K,Y,T,Y,WL,Y,WL,T,R
50,B,Y,Y,Y,I,T,K,Y,T,T,WL,Y,WM,Y,R
